nom_commune;latitude;longitude
Chanay;46;5.783333
Châtillon-en-Michaille;46.133333;5.783333
Chavornay;45.883333;5.7
Chazey-Bons;45.8;5.683333
Cheignieu-la-Balme;45.833333;5.616667
Chevillard;46.116667;5.583333
Chevry;46.283333;6.033333
Chézery-Forens;46.216667;5.883333
Cleyzieu;45.9;5.433333
Collonges;46.133333;5.9
Colomieu;45.733333;5.616667
Conand;45.883333;5.466667
Condamine;46.116667;5.566667
Confort;46.15;5.816667
Contrevoz;45.8;5.633333
Conzieu;45.733333;5.6
Corbonod;45.95;5.816667
Corcelles;46.033333;5.583333
Corlier;46.033333;5.5
Cormaranche-en-Bugey;45.95;5.6
Cressin-Rochefort;45.766667;5.766667
Crozet;;
Culoz;45.85;5.783333
Cuzieu;;
Divonne-les-Bains;46.366667;6.133333
Echenevex;46.316667;6.033333
Evosges;45.958333;5.5
Farges;46.166667;5.916667
Ferney-Voltaire;46.25;6.116667
Flaxieu;45.816667;5.733333
Gex;46.333333;6.066667
Giron;46.233333;5.766667
Grilly;46.333333;6.116667
Groslée;45.716667;5.566667
Hauteville-Lompnes;45.966667;5.6
Hostiaz;45.9;5.533333
Hotonnes;46;5.683333
Injoux-Génissiat;46.05;5.783333
Innimond;45.783333;5.566667
Izenave;46.033333;5.533333
Izieu;45.65;5.633333
La Burbanche;45.85;5.566667
Lancrans;46.133333;5.833333
Lantenay;46.05;5.533333
Lavours;45.8;5.766667
Léaz;46.1;5.883333
Le Grand-Abergement;46.033333;5.666667
Lélex;46.3;5.95
Le Petit-Abergement;46.033333;5.65
Lhôpital;;
Lhuis;45.75;5.533333
Lochieu;45.933333;5.716667
Lompnas;45.8;5.516667
Lompnieu;45.966667;5.65
Magnieu;45.783333;5.716667
Marchamp;45.783333;5.55
Marignieu;45.8;5.716667
Massignieu-de-Rives;45.75;5.766667
Mijoux;46.366667;6
Montagnieu;45.8;5.466667
Montanges;46.166667;5.8
Murs-et-Gélignieux;45.633333;5.666667
Nattages;45.733333;5.766667
Nivollet-Montgriffon;45.983333;5.433333
Oncieu;45.95;5.466667
Ordonnaz;45.833333;5.533333
Ornex;46.283333;6.1
Outriaz;46.066667;5.55
Parves;45.75;5.75
Péron;46.2;5.933333
Peyrieu;;
Plagne;46.183333;5.733333
Pollieu;45.8;5.75
Pougny;46.133333;5.95
Prémeyzel;45.683333;5.65
Prémillieu;45.866667;5.566667
Prévessin-Moëns;46.25;6.083333
Pugieu;45.816667;5.65
Rossillon;45.833333;5.6
Ruffieu;46;5.666667
Saint-Benoît;45.7;5.583333
Saint-Bois;45.7;5.633333
Saint-Champ;45.783333;5.733333
Saint-Genis-Pouilly;46.25;6.016667
Saint-Germain-de-Joux;46.183333;5.733333
Saint-Germain-les-Paroisses;45.766667;5.616667
Saint-Jean-de-Gonville;46.216667;5.95
Saint-Martin-de-Bavel;45.85;5.683333
Saint-Rambert-en-Bugey;45.95;5.433333
Sauverny;46.316667;6.116667
Ségny;46.3;6.083333
Seillonnaz;45.8;5.483333
Sergy;46.25;6
Serrières-de-Briord;;
Seyssel;45,96;5,83
Songieu;45.966667;5.7
Surjoux;46.016667;5.8
Sutrieu;45.95;5.65
Talissieu;45.866667;5.716667
Tenay;45.916667;5.5
Thézillieu;45.883333;5.6
Thoiry;;
Torcieu;45.916667;5.4
Versonnex;;
Vesancy;46.35;6.083333
Vieu;45.9;5.683333
Vieu-d'Izenave;46.083333;5.533333
Villes;46.083333;5.783333
Virieu-le-Grand;45.85;5.65
Virieu-le-Petit;45.9;5.716667
